V4	SYMBOL	GENENAME	seqnames	start	end	width	strand	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL
IP1_peak_980	4930517M08Rik	RIKEN cDNA 4930517M08 gene	chr17	4626460	4626460	1	*	151.34766	Distal Intergenic	17	4634978	4637471	2494	1	75117	ENSMUST00000232624.1	-8518	ENSMUSG00000116767
IP1_peak_1027	Dpp9	dipeptidylpeptidase 9	chr17	56200054	56200054	1	*	72.42954	Intron (ENSMUST00000223616.1/224897, intron 7 of 18)	17	56186807	56209208	22402	2	224897	ENSMUST00000223616.1	9154	ENSMUSG00000001229
IP1_peak_2016	Prb1c	proline-rich protein BstNI subfamily 1C	chr6	132463771	132463771	1	*	71.38757	Distal Intergenic	6	132361041	132364134	3094	2	667929	ENSMUST00000080849.5	-99637	ENSMUSG00000030143
IP1_peak_664	Enc1	ectodermal-neural cortex 1	chr13	97292182	97292182	1	*	70.13784	Distal Intergenic	13	97241105	97253034	11930	1	13803	ENSMUST00000041623.8	51077	ENSMUSG00000041773
IP1_peak_305	4933427E13Rik	RIKEN cDNA 4933427E13 gene	chr11	25100171	25100171	1	*	67.13946	Distal Intergenic	11	25326107	25367137	41031	1	71234	ENSMUST00000125234.7	-225936	ENSMUSG00000033015
IP1_peak_776	Pou4f1	POU domain, class 4, transcription factor 1	chr14	104336989	104336989	1	*	66.92199	Intron (ENSMUST00000228095.1/ENSMUST00000228095.1, intron 1 of 4)	14	104463973	104465365	1393	2	18996	ENSMUST00000139505.1	128376	ENSMUSG00000048349
IP1_peak_31	4930521E06Rik	RIKEN cDNA 4930521E06 gene	chr1	44951251	44951251	1	*	62.6784	Distal Intergenic	1	44739676	44744949	5274	2	75066	ENSMUST00000186732.1	-206302	ENSMUSG00000101701
IP1_peak_420	Btbd17	BTB domain containing 17	chr11	114795340	114795340	1	*	61.20669	Promoter (<=1kb)	11	114791217	114795873	4657	2	72014	ENSMUST00000156053.7	533	ENSMUSG00000000202
IP1_peak_1259	Gm13580	predicted gene 13580	chr2	60402801	60402801	1	*	58.5644	Distal Intergenic	2	60411525	60412579	1055	1	100039176	ENSMUST00000131457.1	-8724	ENSMUSG00000087283
IP1_peak_199	Olig3	oligodendrocyte transcription factor 3	chr10	19277409	19277409	1	*	56.45586	Distal Intergenic	10	19356533	19358604	2072	1	94222	ENSMUST00000053225.6	-79124	ENSMUSG00000045591
IP1_peak_1715	Steap1	six transmembrane epithelial antigen of the prostate 1	chr5	5945182	5945182	1	*	56.30153	Distal Intergenic	5	5736317	5749326	13010	2	70358	ENSMUST00000015796.8	-195856	ENSMUSG00000015652
IP1_peak_2303	Or7g34	olfactory receptor family 7 subfamily G member 34	chr9	19575482	19575482	1	*	55.22847	Distal Intergenic	9	19566435	19567382	948	2	258515	ENSMUST00000072419.2	-8100	ENSMUSG00000095667
IP1_peak_2104	Tead1	TEA domain family member 1	chr7	112760938	112760938	1	*	53.77452	Promoter (1-2kb)	7	112759546	112842374	82829	1	21676	ENSMUST00000168328.1	1392	ENSMUSG00000055320
IP1_peak_610	Cplx2	complexin 2	chr13	54324380	54324380	1	*	48.26439	Intron (ENSMUST00000220818.1/ENSMUST00000220818.1, intron 1 of 1)	13	54302558	54312175	9618	1	12890	ENSMUST00000223430.1	21822	ENSMUSG00000025867
IP1_peak_778	1700128A07Rik	RIKEN cDNA 1700128A07 gene	chr14	107075339	107075339	1	*	45.56597	Distal Intergenic	14	106417187	106486520	69334	2	73631	ENSMUST00000186311.1	-588819	ENSMUSG00000099794
IP1_peak_1793	C130026L21Rik	RIKEN cDNA C130026L21 gene	chr5	111538717	111538717	1	*	44.6591	Distal Intergenic	5	111581422	111587945	6524	1	330164	ENSMUST00000064930.7	-42705	ENSMUSG00000052848
IP1_peak_76	Hes6	hairy and enhancer of split 6	chr1	91414309	91414309	1	*	44.41752	Promoter (<=1kb)	1	91412348	91414038	1691	2	55927	ENSMUST00000150520.1	-271	ENSMUSG00000067071
